Season,Time Period,Stock Description,Sales Volume,STOCK_DESCRIPTION,TOTAL_PRICE_INCLDISC,Calories,Danceability/Energy,Loudness,liveness,Liveness,Price
Fall,Late Night,Beverage,,Premium Draft Beer,5440.0,200.0,0,0.0,0,1.0,
Fall,Late Night,Beverage - Michelob,,C ABD | Michelob Golden Draft Light | DFT 24 F,4766.0,110.0,0,0.0,0,1.0,$20.99
Fall,Late Night,Beverage - Michelob,,C ABD | Michelob Golden Draft Light | CAN 16 F,3741.0,110.0,0,0.0,0,1.0,$10.49
Fall,Late Night,Water,,C NWT | Dasani | BTL 20 F,3517.75,0.0,0,0.0,0,0.0,$3.99
Fall,Late Night,Beverage - Vodka,,C ALV | Pinnacle Vodka | CUP 1.25 F,3187.5,97.0,0,0.0,0,1.0,$13.00
Fall,Late Night,Beverage - Beer,,C ABD | Bud Light | DFT 24 F,2713.75,155.0,0,0.0,0,1.0,$12.99
Fall,Late Night,Beverage,,C ABD | Coors Light | CAN 16 F,2674.0,110.0,0,0.0,0,1.0,$13.99
Fall,Late Night,Beverage - Beer,,C ABD | Bud Light | CAN 16 F,2573.0,110.0,0,0.0,0,1.0,$7.99
Fall,Late Night,Beverage - Beer,,Domestic Draft Beer,2466.0,155.0,0,0.0,0,1.0,$10.99
Fall,Late Night,Water,,Dasani Water,1943.0,0.0,0,0.0,0,0.0,$39.00
Fall,Late Night,Beverage,,C ALR | Captain Morgan Original | CUP 1.25 F,1893.5,65.0,0,0.0,0,0.0,$9.99
Fall,Late Night,Beverage,,C ABI | Stella Artois | CAN 25oz F,1853.5,275.0,1,0.0,0,0.0,$3.99
Fall,Late Night,Beverage,,C ABI |Modelo Especial  | CAN 16 F,1839.6,-1,0,0.0,0,0.0,$8.99
Fall,Late Night,Beverage,,Mixed Drink - Red - Premium,1766.5,-200,0,0.0,0,0.0,$9.99
Fall,Late Night,Beverage - Beer,,C ABI | Corona Extra | CAN 24 F,1667.5,275.0,1,0.0,0,1.0,$25.99
Fall,Late Night,Beverage - Wine,,Wine-House,1600.0,-100,0,0.0,0,0.0,$21.99
Fall,Late Night,Beverage - Vodka,,C ALV | Grey Goose | DBL Grey Goose CUP 12 F,1529.0,-100,0,0.0,0,0.0,$15.99
Fall,Late Night,Beverage,,C ALI | 2 GINGERS | CUP 1.25 F,1402.5,150.0,0,0.0,0,0.0,$8.99
Fall,Late Night,Beverage - Beer,,C ABI | Corona Extra | CAN 16 F,1367.0,-150,0,0.0,0,1.0,$10.49
Fall,Late Night,Beverage - Beer,,C ABI | Corona Extra | DFT 20 F,1331.5,-150,0,0.0,0,0.0,$9.99
Fall,Late Night,Beverage,,C ABX | Stella Artois Cidre | CAN 16 F,1263.0,-180,0,0.0,0,0.0,$17.99
Fall,Late Night,Beverage - Beer,,C ABD | Budweiser | CAN 16 F,1256.5,-145,0,0.0,0,0.0,$13.99
